IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
1.0,429,8553.47902097902,0.0,19113.406156205703,27.821270933135896,IsRamadan,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,
0.0,1029,5915.57628765792,0.0,11524.450764564232,-11.59895552022868,IsRamadan,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,
,1410,6822.82304964539,0.0,14392.469379826915,1.9587364882258336,IsEid,RevenueCenter_8,0.0,,,,,,,,,,,,,,,,,,,
,48,2841.4583333333335,0.0,7139.895475599225,-57.53788434163418,IsEid,RevenueCenter_8,1.0,,,,,,,,,,,,,,,,,,,
,126,14870.039682539682,0.0,27916.48995483516,122.21453590831794,IsPreRamadan,RevenueCenter_8,,1.0,,,,,,,,,,,,,,,,,,
,1332,5918.127252252252,0.0,11895.979977885205,-11.560834477813868,IsPreRamadan,RevenueCenter_8,,0.0,,,,,,,,,,,,,,,,,,
,126,7463.829365079365,0.0,15356.428402094376,11.537791012586988,IsPostRamadan,RevenueCenter_8,,,1.0,,,,,,,,,,,,,,,,,
,1332,6618.714714714714,0.0,14121.848598751138,-1.0914126633528367,IsPostRamadan,RevenueCenter_8,,,0.0,,,,,,,,,,,,,,,,,
,1398,6762.103361945637,0.0,14403.873153731467,1.0513551018438037,IsLast10Ramadan,RevenueCenter_8,,,,0.0,,,,,,,,,,,,,,,,
,60,5052.5,0.0,9197.085366423871,-24.496573872960795,IsLast10Ramadan,RevenueCenter_8,,,,1.0,,,,,,,,,,,,,,,,
,1365,6762.764102564102,0.0,14391.854611557916,1.061229061363935,IsDSF,RevenueCenter_8,,,,,0.0,,,,,,,,,,,,,,,
,93,5649.435483870968,0.0,11595.277302594073,-15.576103965180485,IsDSF,RevenueCenter_8,,,,,1.0,,,,,,,,,,,,,,,
,1266,7355.787914691943,0.0,15047.08011095371,9.92324382446529,IsSummerEvent,RevenueCenter_8,,,,,,0.0,,,,,,,,,,,,,,
,192,2313.2447916666665,0.0,4768.402158919421,-65.43138896756805,IsSummerEvent,RevenueCenter_8,,,,,,1.0,,,,,,,,,,,,,,
,1458,6691.749314128944,0.0,14229.140501395674,0.0,IsWorldCup,RevenueCenter_8,,,,,,,0.0,,,,,,,,,,,,,
,1455,6705.546735395189,0.0,14240.5619389191,0.20618556701030236,IsNationalDay,RevenueCenter_8,,,,,,,,0.0,,,,,,,,,,,,
,3,0.0,0.0,0.0,-100.0,IsNationalDay,RevenueCenter_8,,,,,,,,1.0,,,,,,,,,,,,
,1440,6759.423958333334,0.0,14292.747606499657,1.0113146955684886,IsNewYear,RevenueCenter_8,,,,,,,,,0.0,,,,,,,,,,,
,18,1277.7777777777778,0.0,5421.151989096864,-80.9051756454791,IsNewYear,RevenueCenter_8,,,,,,,,,1.0,,,,,,,,,,,
,1428,6767.556372549019,0.0,14266.488346808495,1.1328436685459236,IsMarathon,RevenueCenter_8,,,,,,,,,,0.0,,,,,,,,,,
,30,3083.3333333333335,0.0,11972.009981139581,-53.923358622786566,IsMarathon,RevenueCenter_8,,,,,,,,,,1.0,,,,,,,,,,
,1419,6713.520436927413,0.0,14352.314641797535,0.32534277326410976,IsGITEX,RevenueCenter_8,,,,,,,,,,,0.0,,,,,,,,,
,39,5899.615384615385,0.0,8704.296306438759,-11.837471673379182,IsGITEX,RevenueCenter_8,,,,,,,,,,,1.0,,,,,,,,,
,1458,6691.749314128944,0.0,14229.140501395674,0.0,IsFilmFestival,RevenueCenter_8,,,,,,,,,,,,0.0,,,,,,,,
,39,8424.038461538461,0.0,13448.171339385954,25.886940261673665,IsAirshow,RevenueCenter_8,,,,,,,,,,,,,1.0,,,,,,,
,1419,6644.138830162086,0.0,14251.514694846523,-0.7114803877415605,IsAirshow,RevenueCenter_8,,,,,,,,,,,,,0.0,,,,,,,
,1458,6691.749314128944,0.0,14229.140501395674,0.0,IsArtDubai,RevenueCenter_8,,,,,,,,,,,,,,0.0,,,,,,
,39,7890.128205128205,2800.0,10375.641609024495,17.908305209058064,IsFoodFestival,RevenueCenter_8,,,,,,,,,,,,,,,1.0,,,,,
