IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
1.0,429,9649.85219114219,8470.4,9179.188282489951,10.683055437321755,IsRamadan,RevenueCenter_5,,,,,,,,,,,,,,,,,,,,
0.0,1029,8330.146307094266,3890.0,8370.871793078903,-4.453868593402372,IsRamadan,RevenueCenter_5,,,,,,,,,,,,,,,,,,,,
,1410,8818.126560283687,4550.5,8710.156728079875,1.143227024876726,IsEid,RevenueCenter_5,0.0,,,,,,,,,,,,,,,,,,,
,48,5790.597708333334,3538.75,5261.614309323886,-33.582293855754386,IsEid,RevenueCenter_5,1.0,,,,,,,,,,,,,,,,,,,
,126,10385.098333333333,5218.0,10168.777962372531,19.116271605225243,IsPreRamadan,RevenueCenter_5,,1.0,,,,,,,,,,,,,,,,,,
,1332,8560.799361861862,4453.0,8462.336072361808,-1.8082959626564432,IsPreRamadan,RevenueCenter_5,,0.0,,,,,,,,,,,,,,,,,,
,1332,8916.91569069069,4745.4,8793.497407907065,2.276330680856037,IsPostRamadan,RevenueCenter_5,,,0.0,,,,,,,,,,,,,,,,,
,126,6620.44,2811.5,6384.717590639698,-24.064067197621075,IsPostRamadan,RevenueCenter_5,,,1.0,,,,,,,,,,,,,,,,,
,60,10530.248666666668,10580.5,8875.862975180185,20.781134659379198,IsLast10Ramadan,RevenueCenter_5,,,,1.0,,,,,,,,,,,,,,,,
,1398,8640.695436337626,4242.0,8618.600144272032,-0.8918941913896555,IsLast10Ramadan,RevenueCenter_5,,,,0.0,,,,,,,,,,,,,,,,
,1365,8740.916073260072,4537.0,8683.546474854114,0.2576287331824982,IsDSF,RevenueCenter_5,,,,,0.0,,,,,,,,,,,,,,,
,93,8388.781720430106,3860.0,7913.386683764531,-3.7813249547756245,IsDSF,RevenueCenter_5,,,,,1.0,,,,,,,,,,,,,,,
,1266,8940.169462875197,4685.9,8885.93223004183,2.5430496424363223,IsSummerEvent,RevenueCenter_5,,,,,,0.0,,,,,,,,,,,,,,
,192,7256.523958333334,3212.0,6578.681854088479,-16.768233579814513,IsSummerEvent,RevenueCenter_5,,,,,,1.0,,,,,,,,,,,,,,
,1458,8718.454828532236,4508.5,8634.380033411047,0.0,IsWorldCup,RevenueCenter_5,,,,,,,0.0,,,,,,,,,,,,,
,1455,8724.375353951891,4515.0,8638.641187195375,0.06790796690577887,IsNationalDay,RevenueCenter_5,,,,,,,,0.0,,,,,,,,,,,,
,3,5847.0,2650.0,6776.873689246392,-32.935363949297994,IsNationalDay,RevenueCenter_5,,,,,,,,1.0,,,,,,,,,,,,
,18,10611.305555555555,3953.5,12314.801597526366,21.71085088184121,IsNewYear,RevenueCenter_5,,,,,,,,,1.0,,,,,,,,,,,
,1440,8694.794194444445,4522.5,8581.846384961065,-0.2713856360230159,IsNewYear,RevenueCenter_5,,,,,,,,,0.0,,,,,,,,,,,
