IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
0.0,1029,4542.376083576288,1558.5,5700.705339349753,0.7525836288619575,IsRamadan,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,
1.0,429,4427.062121212121,1456.0,7167.752055120883,-1.805148144752862,IsRamadan,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,
,1410,4539.219921985816,1559.75,6224.408762384999,0.6825781011955041,IsEid,RevenueCenter_3,0.0,,,,,,,,,,,,,,,,,,,
,48,3604.4697916666664,1422.775,4051.2879722397975,-20.05073172261843,IsEid,RevenueCenter_3,1.0,,,,,,,,,,,,,,,,,,,
,126,7368.9440476190475,2113.0,11249.270837613622,63.44753004898863,IsPreRamadan,RevenueCenter_3,,1.0,,,,,,,,,,,,,,,,,,
,1332,4237.858626126126,1499.75,5375.071924885743,-6.001793383012458,IsPreRamadan,RevenueCenter_3,,0.0,,,,,,,,,,,,,,,,,,
,1332,4576.868198198198,1538.725,6298.336298608713,1.5176390974184613,IsPostRamadan,RevenueCenter_3,,,0.0,,,,,,,,,,,,,,,,,
,126,3785.1285714285714,1476.75,4498.512755504284,-16.043613315566834,IsPostRamadan,RevenueCenter_3,,,1.0,,,,,,,,,,,,,,,,,
,1398,4602.898240343347,1583.75,6255.584605028785,2.095000801918091,IsLast10Ramadan,RevenueCenter_3,,,,0.0,,,,,,,,,,,,,,,,
,60,2307.7149999999997,916.5,2700.5492349611313,-48.8135186846921,IsLast10Ramadan,RevenueCenter_3,,,,1.0,,,,,,,,,,,,,,,,
,1365,4543.024278388278,1571.75,6247.943357550708,0.766960972525539,IsDSF,RevenueCenter_3,,,,,0.0,,,,,,,,,,,,,,,
,93,4000.930107526882,1241.0,4811.050243495944,-11.257007822552785,IsDSF,RevenueCenter_3,,,,,1.0,,,,,,,,,,,,,,,
,1266,4655.372069510268,1550.475,6424.464144110237,3.2589013165809755,IsSummerEvent,RevenueCenter_3,,,,,,0.0,,,,,,,,,,,,,,
,192,3539.6541666666667,1490.375,3951.5482190390812,-21.48838055620598,IsSummerEvent,RevenueCenter_3,,,,,,1.0,,,,,,,,,,,,,,
,1458,4508.446255144033,1529.5,6166.37477377222,-2.017312950631752e-14,IsWorldCup,RevenueCenter_3,,,,,,,0.0,,,,,,,,,,,,,
,3,5087.5,3059.5,5951.543518281623,12.843753969458529,IsNationalDay,RevenueCenter_3,,,,,,,,1.0,,,,,,,,,,,,
,1455,4507.252329896907,1524.0,6168.728955113436,-0.026481966947356432,IsNationalDay,RevenueCenter_3,,,,,,,,0.0,,,,,,,,,,,,
,18,4985.008333333333,1112.0,6513.433747631077,10.570428285477576,IsNewYear,RevenueCenter_3,,,,,,,,,1.0,,,,,,,,,,,
,1440,4502.4892291666665,1550.475,6164.068249521995,-0.13213035356849237,IsNewYear,RevenueCenter_3,,,,,,,,,0.0,,,,,,,,,,,
,30,4737.61,1546.375,6091.090210361247,5.082987173119681,IsMarathon,RevenueCenter_3,,,,,,,,,,1.0,,,,,,,,,,
,1428,4503.631890756303,1529.5,6169.963554741664,-0.10678544481345421,IsMarathon,RevenueCenter_3,,,,,,,,,,0.0,,,,,,,,,,
,1419,4523.661627906977,1558.5,6204.371159780555,0.3374859519636625,IsGITEX,RevenueCenter_3,,,,,,,,,,,0.0,,,,,,,,,
,39,3954.8407692307696,1249.5,4600.17123921913,-12.279296559909369,IsGITEX,RevenueCenter_3,,,,,,,,,,,1.0,,,,,,,,,
,1458,4508.446255144033,1529.5,6166.37477377222,-2.017312950631752e-14,IsFilmFestival,RevenueCenter_3,,,,,,,,,,,,0.0,,,,,,,,
,1419,4511.711937984496,1522.0,6196.244159866248,0.07243477365924819,IsAirshow,RevenueCenter_3,,,,,,,,,,,,,0.0,,,,,,,
,39,4389.625641025641,1882.75,5023.002523704425,-2.6355113800640555,IsAirshow,RevenueCenter_3,,,,,,,,,,,,,1.0,,,,,,,
,1458,4508.446255144033,1529.5,6166.37477377222,-2.017312950631752e-14,IsArtDubai,RevenueCenter_3,,,,,,,,,,,,,,0.0,,,,,,
,39,4915.191025641026,1881.0,5919.837011112808,9.021839176476936,IsFoodFestival,RevenueCenter_3,,,,,,,,,,,,,,,1.0,,,,,
,1419,4497.267223396759,1522.0,6174.639183897534,-0.24795752493489429,IsFoodFestival,RevenueCenter_3,,,,,,,,,,,,,,,0.0,,,,,
,258,5960.704069767441,1888.0,8864.246794477112,32.211935829697744,IsPreEvent,RevenueCenter_3,,,,,,,,,,,,,,,,1.0,,,,
,1200,4196.210825,1489.375,5367.741074922323,-6.92556620338504,IsPreEvent,RevenueCenter_3,,,,,,,,,,,,,,,,0.0,,,,
,1242,4607.56150563607,1559.75,6380.945516204026,2.198434779586165,IsPostEvent,RevenueCenter_3,,,,,,,,,,,,,,,,,0.0,,,
,216,3938.533564814815,1489.75,4719.940438906011,-12.640999982620658,IsPostEvent,RevenueCenter_3,,,,,,,,,,,,,,,,,1.0,,,
,981,5054.065902140673,1659.25,6910.1564433475505,12.10216593741357,TourismIntensity,RevenueCenter_3,,,,,,,,,,,,,,,,,,Normal,,
,99,4055.8,1224.0,4937.8311155572455,-10.039961208976921,TourismIntensity,RevenueCenter_3,,,,,,,,,,,,,,,,,,High,,
,201,3581.867114427861,1463.75,3990.1837902123816,-20.552072449770634,TourismIntensity,RevenueCenter_3,,,,,,,,,,,,,,,,,,Medium,,
,177,2789.8107344632767,1085.75,3391.5843276708165,-38.12035063565044,TourismIntensity,RevenueCenter_3,,,,,,,,,,,,,,,,,,Low,,
,1272,4695.253136792453,1591.75,6409.498084938271,4.1434869371078085,RevenueImpact,RevenueCenter_3,,,,,,,,,,,,,,,,,,,Neutral,
,57,3608.5947368421052,1215.0,4368.239766113751,-19.959238003008657,RevenueImpact,RevenueCenter_3,,,,,,,,,,,,,,,,,,,Boost,
,129,3064.0523255813955,1211.0,3706.194291343866,-32.03751021573381,RevenueImpact,RevenueCenter_3,,,,,,,,,,,,,,,,,,,Decrease,
,42,7897.6654761904765,2265.0,14234.066564225968,75.17488352399502,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,84,7104.583333333333,2113.0,9501.867722622372,57.58385331148544,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,6,5974.725000000001,1317.75,8352.582218796173,32.52292834106599,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Commemoration-Day
,3,5703.650000000001,1940.0,7861.043223866664,26.51032478189724,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Flag-Day
,18,5467.230555555555,2508.375,6249.552606766882,21.266401907698697,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,507,5098.129289940828,1644.75,6503.525687969696,13.079517896525427,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Normal
,3,5087.5,3059.5,5951.543518281623,12.843753969458529,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-UAE-National-Day
