IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
1.0,429,157.05710955710956,70.0,231.27309609753945,19.290094672986935,IsRamadan,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,
0.0,1029,121.07142857142857,35.0,197.40239177921734,-8.042226059000393,IsRamadan,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,
,1410,131.70212765957447,35.0,210.23163471936314,0.03214322132713595,IsEid,RevenueCenter_9,0.0,,,,,,,,,,,,,,,,,,,
,48,130.41666666666666,85.0,150.83397006252505,-0.9442071264846968,IsEid,RevenueCenter_9,1.0,,,,,,,,,,,,,,,,,,,
,126,207.4404761904762,102.5,279.92042874461924,57.55793617717977,IsPreRamadan,RevenueCenter_9,,1.0,,,,,,,,,,,,,,,,,,
,1332,124.49136636636636,35.0,199.09064804449696,-5.444669638381877,IsPreRamadan,RevenueCenter_9,,0.0,,,,,,,,,,,,,,,,,,
,1332,131.92192192192192,35.0,210.1790181472244,0.1990842686820956,IsPostRamadan,RevenueCenter_9,,,0.0,,,,,,,,,,,,,,,,,
,126,128.88888888888889,60.0,190.68601300450842,-2.1046051260679386,IsPostRamadan,RevenueCenter_9,,,1.0,,,,,,,,,,,,,,,,,
,1398,133.5050071530758,35.0,211.28990449172346,1.4014901173080427,IsLast10Ramadan,RevenueCenter_9,,,,0.0,,,,,,,,,,,,,,,,
,60,88.66666666666667,37.5,120.79491888891077,-32.654719733277766,IsLast10Ramadan,RevenueCenter_9,,,,1.0,,,,,,,,,,,,,,,,
,1365,140.45787545787545,50.0,212.62589220288405,6.682424680966029,IsDSF,RevenueCenter_9,,,,,0.0,,,,,,,,,,,,,,,
,93,2.5268817204301075,0.0,15.04745493275355,-98.0807493496629,IsDSF,RevenueCenter_9,,,,,1.0,,,,,,,,,,,,,,,
,192,170.24739583333334,105.0,208.8612167124044,29.308555493331944,IsSummerEvent,RevenueCenter_9,,,,,,1.0,,,,,,,,,,,,,,
,1266,125.80766192733017,35.0,207.91108698538923,-4.444899411311011,IsSummerEvent,RevenueCenter_9,,,,,,0.0,,,,,,,,,,,,,,
,1458,131.65980795610426,35.0,208.50716369659287,0.0,IsWorldCup,RevenueCenter_9,,,,,,,0.0,,,,,,,,,,,,,
,1455,131.93127147766322,35.0,208.63628511949864,0.2061855670102932,IsNationalDay,RevenueCenter_9,,,,,,,,0.0,,,,,,,,,,,,
,3,0.0,0.0,0.0,-100.0,IsNationalDay,RevenueCenter_9,,,,,,,,1.0,,,,,,,,,,,,
,1440,132.11111111111111,35.0,208.87113397051976,0.34277974578036785,IsNewYear,RevenueCenter_9,,,,,,,,,0.0,,,,,,,,,,,
,18,95.55555555555556,0.0,178.25864296254943,-27.422379662429673,IsNewYear,RevenueCenter_9,,,,,,,,,1.0,,,,,,,,,,,
,30,133.33333333333334,70.0,210.0875570070617,1.2710981454469699,IsMarathon,RevenueCenter_9,,,,,,,,,,1.0,,,,,,,,,,
,1428,131.624649859944,35.0,208.54783441165003,-0.02670374255140593,IsMarathon,RevenueCenter_9,,,,,,,,,,0.0,,,,,,,,,,
,1419,133.28400281888653,35.0,210.52411935105204,1.2336299801711592,IsGITEX,RevenueCenter_9,,,,,,,,,,,0.0,,,,,,,,,
,39,72.56410256410257,35.0,96.94594122276679,-44.88515235545867,IsGITEX,RevenueCenter_9,,,,,,,,,,,1.0,,,,,,,,,
,1458,131.65980795610426,35.0,208.50716369659287,0.0,IsFilmFestival,RevenueCenter_9,,,,,,,,,,,,0.0,,,,,,,,
,1419,135.0986610288936,40.0,210.19958895889397,2.6119232028166497,IsAirshow,RevenueCenter_9,,,,,,,,,,,,,0.0,,,,,,,
,39,6.538461538461538,0.0,40.83267922029722,-95.03382114863675,IsAirshow,RevenueCenter_9,,,,,,,,,,,,,1.0,,,,,,,
,1458,131.65980795610426,35.0,208.50716369659287,0.0,IsArtDubai,RevenueCenter_9,,,,,,,,,,,,,,0.0,,,,,,
,39,169.35897435897436,55.0,208.61756589252107,28.633769855899466,IsFoodFestival,RevenueCenter_9,,,,,,,,,,,,,,,1.0,,,,,
,1419,130.62367864693445,35.0,208.48141326914634,-0.7869746472023239,IsFoodFestival,RevenueCenter_9,,,,,,,,,,,,,,,0.0,,,,,
,1200,132.30208333333334,40.0,204.0393217609789,0.48782949572827844,IsPreEvent,RevenueCenter_9,,,,,,,,,,,,,,,,0.0,,,,
,258,128.67248062015503,0.0,228.5447241828156,-2.2689743987361846,IsPreEvent,RevenueCenter_9,,,,,,,,,,,,,,,,1.0,,,,
,1242,134.10628019323673,35.0,212.82678900945746,1.8581769752756505,IsPostEvent,RevenueCenter_9,,,,,,,,,,,,,,,,,0.0,,,
,216,117.5925925925926,35.0,181.49057439998887,-10.68451760783497,IsPostEvent,RevenueCenter_9,,,,,,,,,,,,,,,,,1.0,,,
,201,155.8084577114428,80.0,204.2275064189676,18.341702095896846,TourismIntensity,RevenueCenter_9,,,,,,,,,,,,,,,,,,Medium,,
,177,141.24293785310735,50.0,214.3817293361031,7.2787056625497515,TourismIntensity,RevenueCenter_9,,,,,,,,,,,,,,,,,,Low,,
,981,137.41335372069318,45.0,213.96277483565623,4.37000923357504,TourismIntensity,RevenueCenter_9,,,,,,,,,,,,,,,,,,Normal,,
,99,8.484848484848484,0.0,62.296421693739,-93.55547557256246,TourismIntensity,RevenueCenter_9,,,,,,,,,,,,,,,,,,High,,
,129,164.7674418604651,70.0,239.03848773615104,25.146348318690414,RevenueImpact,RevenueCenter_9,,,,,,,,,,,,,,,,,,,Decrease,
,1272,133.6556603773585,40.0,207.4610267955408,1.515916248274986,RevenueImpact,RevenueCenter_9,,,,,,,,,,,,,,,,,,,Neutral,
,57,12.192982456140351,0.0,80.80519754245196,-90.73902457748872,RevenueImpact,RevenueCenter_9,,,,,,,,,,,,,,,,,,,Boost,
,42,242.61904761904762,140.0,329.11788623982943,84.27723037537581,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,84,189.85119047619048,95.0,252.1092799456424,44.198289078081736,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,21,189.28571428571428,205.0,185.5416780287229,43.76879111719702,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Dubai-Food-Festival
,12,178.33333333333334,77.5,298.0110837881807,35.450093769535314,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Post-Dubai-Marathon
,57,172.28070175438597,70.0,242.3307033776338,30.85291891951174,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Ramadan-Middle
,171,172.06140350877192,105.0,212.24090925260268,30.686354613351448,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Dubai-Summer-Surprises
,15,169.66666666666666,140.0,174.22754688980183,28.86747239008125,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Pre-Eid-Adha
,6,165.83333333333334,125.0,152.7879794573731,25.955928318399668,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Dubai-Marathon
,60,164.33333333333334,62.5,249.97197583042177,24.81662846426339,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Ramadan-First10Days
