IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
1.0,429,637.3433566433566,191.0,3455.6901578233965,33.84342818249671,IsRamadan,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,
0.0,1029,408.997619047619,244.0,989.1342374201972,-14.10965081660941,IsRamadan,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,
,1410,484.09195035460993,235.0,2085.3532017394705,1.6603146728467018,IsEid,RevenueCenter_6,0.0,,,,,,,,,,,,,,,,,,,
,48,243.9416666666667,178.75,238.0715151211012,-48.771743514871574,IsEid,RevenueCenter_6,1.0,,,,,,,,,,,,,,,,,,,
,126,1526.6000000000001,385.5,6277.254259323897,220.58916961102878,IsPreRamadan,RevenueCenter_6,,1.0,,,,,,,,,,,,,,,,,,
,1332,376.82225975975973,220.0,890.2977783727373,-20.866543071313533,IsPreRamadan,RevenueCenter_6,,0.0,,,,,,,,,,,,,,,,,,
,1332,482.7213963963964,225.5,2141.970538753558,1.3724954960022233,IsPostRamadan,RevenueCenter_6,,,0.0,,,,,,,,,,,,,,,,,
,126,407.09484126984125,304.5,450.06473329197286,-14.509238100594798,IsPostRamadan,RevenueCenter_6,,,1.0,,,,,,,,,,,,,,,,,
,1398,489.6597639484978,240.5,2093.422094812766,2.829567087764501,IsLast10Ramadan,RevenueCenter_6,,,,0.0,,,,,,,,,,,,,,,,
,60,162.24166666666667,0.0,268.5093580363771,-65.92891314491288,IsLast10Ramadan,RevenueCenter_6,,,,1.0,,,,,,,,,,,,,,,,
,93,661.9435483870968,313.5,2192.1019613061508,39.00951952495561,IsDSF,RevenueCenter_6,,,,,1.0,,,,,,,,,,,,,,,
,1365,463.5297435897436,221.0,2041.9249691259197,-2.6577914401618012,IsDSF,RevenueCenter_6,,,,,0.0,,,,,,,,,,,,,,,
,1266,506.55229067930486,242.0,2196.798607148648,6.377032774428683,IsSummerEvent,RevenueCenter_6,,,,,,0.0,,,,,,,,,,,,,,
,192,275.9565104166667,157.75,315.3773046524642,-42.048559856389105,IsSummerEvent,RevenueCenter_6,,,,,,1.0,,,,,,,,,,,,,,
,1458,476.18576817558295,233.5,2051.608747162218,0.0,IsWorldCup,RevenueCenter_6,,,,,,,0.0,,,,,,,,,,,,,
,3,1205.1666666666667,1026.0,472.9282010340823,153.0875022334326,IsNationalDay,RevenueCenter_6,,,,,,,,1.0,,,,,,,,,,,,
,1455,474.6827147766323,232.5,2053.381750384327,-0.315644334501919,IsNationalDay,RevenueCenter_6,,,,,,,,0.0,,,,,,,,,,,,
,18,596.1944444444445,439.0,539.8184645537817,25.20207118508652,IsNewYear,RevenueCenter_6,,,,,,,,,1.0,,,,,,,,,,,
,1440,474.6856597222222,230.5,2063.522174648246,-0.31502588981357216,IsNewYear,RevenueCenter_6,,,,,,,,,0.0,,,,,,,,,,,
,30,487.71666666666664,422.5,441.2221991502564,2.421512624214323,IsMarathon,RevenueCenter_6,,,,,,,,,,1.0,,,,,,,,,,
,1428,475.9435224089636,231.0,2072.1070692776743,-0.050872113954073386,IsMarathon,RevenueCenter_6,,,,,,,,,,0.0,,,,,,,,,,
,1419,483.746229739253,237.0,2078.640802742175,1.5877126258175587,IsGITEX,RevenueCenter_6,,,,,,,,,,,0.0,,,,,,,,,
,39,201.10128205128206,86.0,271.64543707773777,-57.7683132316692,IsGITEX,RevenueCenter_6,,,,,,,,,,,1.0,,,,,,,,,
,1458,476.18576817558295,233.5,2051.608747162218,0.0,IsFilmFestival,RevenueCenter_6,,,,,,,,,,,,0.0,,,,,,,,
,39,710.9615384615385,320.0,1634.6467040819527,49.30339921444001,IsAirshow,RevenueCenter_6,,,,,,,,,,,,,1.0,,,,,,,
,1419,469.7331571529246,226.0,2061.964815543102,-1.3550617120247677,IsAirshow,RevenueCenter_6,,,,,,,,,,,,,0.0,,,,,,,
,1458,476.18576817558295,233.5,2051.608747162218,0.0,IsArtDubai,RevenueCenter_6,,,,,,,,,,,,,,0.0,,,,,,
,39,891.7564102564103,349.0,2799.6989778785396,87.2706976676369,IsFoodFestival,RevenueCenter_6,,,,,,,,,,,,,,,1.0,,,,,
,1419,464.7641649048626,225.0,2027.2961221044588,-2.398560401013267,IsFoodFestival,RevenueCenter_6,,,,,,,,,,,,,,,0.0,,,,,
,258,1096.459496124031,307.0,4717.431307997812,130.2587707156623,IsPreEvent,RevenueCenter_6,,,,,,,,,,,,,,,,1.0,,,,
,1200,342.82691666666665,211.5,494.1133962622324,-28.005635703867398,IsPreEvent,RevenueCenter_6,,,,,,,,,,,,,,,,0.0,,,,
,1242,492.35652173913047,223.25,2215.304653714445,3.395891822954464,IsPostEvent,RevenueCenter_6,,,,,,,,,,,,,,,,,0.0,,,
,216,383.2039351851852,283.0,432.21442417067294,-19.52637798198807,IsPostEvent,RevenueCenter_6,,,,,,,,,,,,,,,,,1.0,,,
,99,677.0277777777778,316.0,2130.1246215486235,42.17723901570675,TourismIntensity,RevenueCenter_6,,,,,,,,,,,,,,,,,,High,,
,981,542.2649337410805,280.0,2374.4615796412813,13.876761965958707,TourismIntensity,RevenueCenter_6,,,,,,,,,,,,,,,,,,Normal,,
,201,325.95248756218905,149.0,768.3566243898604,-31.54930085142711,TourismIntensity,RevenueCenter_6,,,,,,,,,,,,,,,,,,Medium,,
,177,168.2189265536723,0.0,292.001319065125,-64.6736761583254,TourismIntensity,RevenueCenter_6,,,,,,,,,,,,,,,,,,Low,,
,1272,506.9080974842767,242.0,2190.488258536006,6.451752942218462,RevenueImpact,RevenueCenter_6,,,,,,,,,,,,,,,,,,,Neutral,
,57,476.29824561403507,309.0,420.524438091987,0.023620495606799376,RevenueImpact,RevenueCenter_6,,,,,,,,,,,,,,,,,,,Boost,
,129,173.1996124031008,0.0,295.1291947298333,-63.62772178877104,RevenueImpact,RevenueCenter_6,,,,,,,,,,,,,,,,,,,Decrease,
,84,1693.9238095238095,411.0,7203.762411622204,255.7275170179409,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,18,1300.138888888889,263.5,4124.791758756383,173.03186608665956,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,3,1205.1666666666667,1026.0,472.9282010340823,153.0875022334326,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-UAE-National-Day
,42,1191.952380952381,307.0,3861.0525906070247,150.31247479720454,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,15,1115.5666666666666,454.0,2531.7875592628416,134.271316200976,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Airshow
,42,949.4464285714286,348.0,3236.0453854032044,99.38572129298522,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-DSF
,6,910.8333333333334,922.0,667.9019139564332,91.2768911223495,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,New-Year-Celebrations
,6,618.75,570.5,345.573110933128,29.938784682840343,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Marathon
,9,618.6666666666666,291.0,856.2499635036488,29.921284509819074,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Dubai-Airshow
,6,577.8333333333334,414.0,554.1344301400759,21.34619972940269,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Flag-Day
,21,541.7142857142857,404.0,390.15601275094343,13.76112473704601,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Food-Festival
,12,460.9166666666667,150.0,551.6170375002988,-3.206543019422227,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,84,458.86249999999995,321.0,505.8015946843595,-3.6379222843962493,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Recovery
,12,449.0,364.0,378.01034136888126,-5.709067761462119,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Dubai-Marathon
,12,438.875,392.0,408.14703929076614,-7.835338783544961,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-New-Year-Celebrations
,51,425.1764705882353,291.0,357.9500091287806,-10.712058401657039,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Shopping-Festival
,507,370.2624260355029,244.0,436.8580786286033,-22.244121773295657,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Normal
,21,367.98571428571427,314.0,348.4279097398977,-22.722235967785647,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Summer-Event
,15,361.73333333333335,300.0,335.13504030180917,-24.035248949323453,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Airshow
,3,355.3333333333333,241.0,329.71856686169997,-25.37926223735607,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Flag-Day
,15,312.1333333333333,237.0,312.9559226533499,-34.45135193157619,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Eid-Adha
,6,305.5416666666667,81.25,526.7627648350505,-35.83561561755769,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Commemoration-Day
,42,303.5595238095238,217.0,288.3986316901371,-36.251869732991906,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Week1
,171,264.65467836257307,147.0,310.30975190129453,-44.421968053235155,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Summer-Surprises
,15,235.13333333333333,72.0,363.2041666427667,-50.621511803218546,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,GITEX-Technology-Week
,21,224.98571428571427,176.0,198.5110432336556,-52.752532872264304,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Eid-Adha
,6,198.03333333333333,138.0,142.15740102670233,-58.41258883228259,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-Flag-Day
,12,191.875,152.75,189.4314609801944,-59.70585161855355,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Eid-Adha
,60,188.2625,0.0,331.43818423383317,-60.46448411902509,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Ramadan-First10Days
,15,180.06333333333333,95.0,177.58830647100078,-62.18632614258666,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-GITEX-Technology-Week
,9,179.44444444444446,98.0,246.84666855717902,-62.316294094224524,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Post-GITEX-Technology-Week
,60,162.24166666666667,0.0,268.5093580363771,-65.92891314491288,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Ramadan-Last10Days
,57,153.41228070175438,0.0,274.9315032033144,-67.78310252960208,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Ramadan-Middle
