ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Eid,Eid_lower,Eid_upper,IsAirshow,IsAirshow_lower,IsAirshow_upper,IsDSF,IsDSF_lower,IsDSF_upper,IsEid,IsEid_lower,IsEid_upper,IsFoodFestival,IsFoodFestival_lower,IsFoodFestival_upper,IsGITEX,IsGITEX_lower,IsGITEX_upper,IsLast10Ramadan,IsLast10Ramadan_lower,IsLast10Ramadan_upper,IsMarathon,IsMarathon_lower,IsMarathon_upper,IsNationalDay,IsNationalDay_lower,IsNationalDay_upper,IsNewYear,IsNewYear_lower,IsNewYear_upper,IsPostEvent,IsPostEvent_lower,IsPostEvent_upper,IsPostRamadan,IsPostRamadan_lower,IsPostRamadan_upper,IsPreEvent,IsPreEvent_lower,IsPreEvent_upper,IsPreRamadan,IsPreRamadan_lower,IsPreRamadan_upper,IsRamadan,IsRamadan_lower,IsRamadan_upper,IsSummerEvent,IsSummerEvent_lower,IsSummerEvent_upper,Ramadan,Ramadan_lower,Ramadan_upper,RevenueImpact,RevenueImpact_lower,RevenueImpact_upper,TourismIntensity,TourismIntensity_lower,TourismIntensity_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,217.77833271999998,668.7011738229904,2411.705326789852,217.77833271999998,217.77833271999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1340.2524876784364,1340.2524876784364,1340.2524876784364,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,208.0267298564104,208.0267298564104,208.0267298564104,1194.7516313073445,1194.7516313073445,1194.7516313073445,0.0,0.0,0.0,1558.0308203984364
2023-01-02,221.41920459381438,422.6435594205027,2146.1084930517554,221.41920459381438,221.41920459381438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1093.1154996885775,1093.1154996885775,1093.1154996885775,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-62.1822814128343,-62.1822814128343,-62.1822814128343,1217.8236545867303,1217.8236545867303,1217.8236545867303,0.0,0.0,0.0,1314.5347042823919
2023-01-03,225.06007646762885,339.12673401452156,2097.6495442968007,225.06007646762885,225.06007646762885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1008.6814084826663,1008.6814084826663,1008.6814084826663,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-160.38858479466847,-160.38858479466847,-160.38858479466847,1231.5958667626535,1231.5958667626535,1231.5958667626535,0.0,0.0,0.0,1233.7414849502952
2023-01-04,228.70094834144328,414.22635380873044,2198.925394319788,228.70094834144328,228.70094834144328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1058.0283074229212,1058.0283074229212,1058.0283074229212,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-115.7018308195965,-115.7018308195965,-115.7018308195965,1236.2560117278363,1236.2560117278363,1236.2560117278363,0.0,0.0,0.0,1286.7292557643646
2023-01-05,232.34182021525768,417.75845932878997,2233.3812118990077,232.34182021525768,232.34182021525768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1130.0138139587286,1130.0138139587286,1130.0138139587286,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-39.61242984408329,-39.61242984408329,-39.61242984408329,1232.1521172881307,1232.1521172881307,1232.1521172881307,0.0,0.0,0.0,1362.3556341739863
2023-01-06,235.98269208907215,559.0417126262477,2325.2475140694955,235.98269208907215,235.98269208907215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1228.304203121672,1228.304203121672,1228.304203121672,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,71.04566608157958,71.04566608157958,71.04566608157958,1219.784410525411,1219.784410525411,1219.784410525411,0.0,0.0,0.0,1464.286895210744
2023-01-07,239.62356396288658,571.3291064441356,2329.961955054468,239.62356396288658,239.62356396288658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1236.0807615200906,1236.0807615200906,1236.0807615200906,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,98.81273093347805,98.81273093347805,98.81273093347805,1199.7939040719311,1199.7939040719311,1199.7939040719311,0.0,0.0,0.0,1475.7043254829773
2023-01-08,243.264435836701,698.0181524366268,2524.4643800309377,243.264435836701,243.264435836701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1318.4487787402138,1318.4487787402138,1318.4487787402138,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,208.02672985639822,208.02672985639822,208.02672985639822,1172.9479223691342,1172.9479223691342,1172.9479223691342,0.0,0.0,0.0,1561.7132145769149
2023-01-09,246.90530771051544,399.3283604840248,2140.2565036899273,246.90530771051544,246.90530771051544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,1015.414756655244,1015.414756655244,1015.414756655244,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-62.18228141295765,-62.18228141295765,-62.18228141295765,1140.1229115535202,1140.1229115535202,1140.1229115535202,0.0,0.0,0.0,1262.3200643657594
2023-01-10,250.54617958432985,187.1940483353326,2008.6482060328244,250.54617958432985,250.54617958432985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,879.3704842278535,879.3704842278535,879.3704842278535,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-160.3885847950609,-160.3885847950609,-160.3885847950609,1102.284942508233,1102.284942508233,1102.284942508233,0.0,0.0,0.0,1129.9166638121833
