Date,RevenueCenterName,MealPeriod,CheckTotal
2023-02-09,RevenueCenter_1,Dinner,3374.4
2023-02-09,RevenueCenter_1,Lunch,801.0
2023-02-10,RevenueCenter_1,Breakfast,456.0
2023-02-10,RevenueCenter_1,Dinner,2559.0
2023-02-10,RevenueCenter_1,Lunch,570.5
2023-02-11,RevenueCenter_1,Breakfast,1229.0
2023-02-11,RevenueCenter_1,Dinner,2197.0
2023-02-11,RevenueCenter_1,Lunch,973.5
2023-02-12,RevenueCenter_1,Breakfast,997.0
2023-02-12,RevenueCenter_1,Dinner,4039.0
2023-02-12,RevenueCenter_1,Lunch,1196.0
2023-02-13,RevenueCenter_1,Breakfast,924.0
2023-02-13,RevenueCenter_1,Dinner,3750.0
2023-02-13,RevenueCenter_1,Lunch,282.0
2023-02-14,RevenueCenter_1,Breakfast,340.4
2023-02-14,RevenueCenter_1,Dinner,4156.0
2023-02-14,RevenueCenter_1,Lunch,526.0
2023-02-15,RevenueCenter_1,Breakfast,432.0
2023-02-15,RevenueCenter_1,Dinner,2181.0
2023-02-15,RevenueCenter_1,Lunch,1566.0
2023-02-16,RevenueCenter_1,Breakfast,1215.0
2023-02-16,RevenueCenter_1,Dinner,3598.5
2023-02-16,RevenueCenter_1,Lunch,1259.0
2023-02-17,RevenueCenter_1,Breakfast,1749.5
2023-02-17,RevenueCenter_1,Dinner,2451.0
2023-02-17,RevenueCenter_1,Lunch,689.0
2023-02-18,RevenueCenter_1,Breakfast,2197.4
2023-02-18,RevenueCenter_1,Dinner,3515.0
2023-02-18,RevenueCenter_1,Lunch,1026.0
2023-02-19,RevenueCenter_1,Breakfast,1505.0
2023-02-19,RevenueCenter_1,Dinner,4452.22
2023-02-19,RevenueCenter_1,Lunch,844.0
2023-02-20,RevenueCenter_1,Breakfast,578.0
2023-02-20,RevenueCenter_1,Dinner,2629.0
2023-02-20,RevenueCenter_1,Lunch,908.0
2023-02-21,RevenueCenter_1,Breakfast,1040.0
2023-02-21,RevenueCenter_1,Dinner,3025.5
2023-02-21,RevenueCenter_1,Lunch,965.0
2023-02-22,RevenueCenter_1,Breakfast,1319.0
2023-02-22,RevenueCenter_1,Dinner,2569.0
2023-02-22,RevenueCenter_1,Lunch,785.0
2023-02-23,RevenueCenter_1,Breakfast,766.0
2023-02-23,RevenueCenter_1,Dinner,2853.0
2023-02-23,RevenueCenter_1,Lunch,259.0
2023-02-24,RevenueCenter_1,Breakfast,873.0
2023-02-24,RevenueCenter_1,Dinner,2830.0
2023-02-24,RevenueCenter_1,Lunch,1012.0
2023-02-25,RevenueCenter_1,Breakfast,798.0
2023-02-25,RevenueCenter_1,Dinner,4164.0
2023-02-25,RevenueCenter_1,Lunch,1087.0
2023-02-26,RevenueCenter_1,Breakfast,1498.4
2023-02-26,RevenueCenter_1,Dinner,2626.0
2023-02-26,RevenueCenter_1,Lunch,573.0
2023-02-27,RevenueCenter_1,Breakfast,956.9
2023-02-27,RevenueCenter_1,Dinner,1937.8
2023-02-27,RevenueCenter_1,Lunch,575.0
2023-02-28,RevenueCenter_1,Breakfast,1214.0
2023-02-28,RevenueCenter_1,Dinner,3393.5
2023-02-28,RevenueCenter_1,Lunch,523.0
2023-03-01,RevenueCenter_1,Breakfast,765.0
2023-03-01,RevenueCenter_1,Dinner,3483.0
2023-03-01,RevenueCenter_1,Lunch,451.0
2023-03-02,RevenueCenter_1,Breakfast,88.0
2023-03-02,RevenueCenter_1,Dinner,2094.0
2023-03-02,RevenueCenter_1,Lunch,381.0
2023-03-03,RevenueCenter_1,Breakfast,50.0
2023-03-03,RevenueCenter_1,Dinner,2592.0
2023-03-03,RevenueCenter_1,Lunch,345.0
2023-03-04,RevenueCenter_1,Breakfast,275.0
2023-03-04,RevenueCenter_1,Dinner,1927.5
2023-03-04,RevenueCenter_1,Lunch,674.8
2023-03-05,RevenueCenter_1,Breakfast,839.0
2023-03-05,RevenueCenter_1,Dinner,4099.5
2023-03-05,RevenueCenter_1,Lunch,632.1
2023-03-06,RevenueCenter_1,Breakfast,766.0
2023-03-06,RevenueCenter_1,Dinner,2249.5
2023-03-06,RevenueCenter_1,Lunch,385.0
2023-03-07,RevenueCenter_1,Breakfast,486.0
2023-03-07,RevenueCenter_1,Dinner,3413.5
2023-03-07,RevenueCenter_1,Lunch,728.0
2023-03-08,RevenueCenter_1,Breakfast,187.0
2023-03-08,RevenueCenter_1,Dinner,2141.0
2023-03-08,RevenueCenter_1,Lunch,693.0
2023-03-09,RevenueCenter_1,Breakfast,804.0
2023-03-09,RevenueCenter_1,Dinner,3054.0
2023-03-09,RevenueCenter_1,Lunch,529.7
2023-03-10,RevenueCenter_1,Breakfast,956.0
2023-03-10,RevenueCenter_1,Dinner,1376.0
2023-03-10,RevenueCenter_1,Lunch,638.0
2023-03-11,RevenueCenter_1,Breakfast,241.0
2023-03-11,RevenueCenter_1,Dinner,1807.0
2023-03-11,RevenueCenter_1,Lunch,1087.4
2023-03-12,RevenueCenter_1,Breakfast,458.0
2023-03-12,RevenueCenter_1,Dinner,1834.0
2023-03-12,RevenueCenter_1,Lunch,675.0
2023-03-13,RevenueCenter_1,Breakfast,342.0
2023-03-13,RevenueCenter_1,Dinner,1895.5
2023-03-13,RevenueCenter_1,Lunch,1103.0
2023-03-14,RevenueCenter_1,Breakfast,222.0
2023-03-14,RevenueCenter_1,Dinner,2555.5
2023-03-14,RevenueCenter_1,Lunch,260.0
2023-03-15,RevenueCenter_1,Breakfast,364.0
2023-03-15,RevenueCenter_1,Dinner,1855.5
2023-03-15,RevenueCenter_1,Lunch,174.0
2023-03-16,RevenueCenter_1,Breakfast,274.5
2023-03-16,RevenueCenter_1,Dinner,2499.0
2023-03-16,RevenueCenter_1,Lunch,390.0
2023-03-17,RevenueCenter_1,Breakfast,1188.0
2023-03-17,RevenueCenter_1,Dinner,1478.0
2023-03-17,RevenueCenter_1,Lunch,503.0
2023-03-18,RevenueCenter_1,Breakfast,590.0
2023-03-18,RevenueCenter_1,Dinner,1493.0
2023-03-18,RevenueCenter_1,Lunch,718.0
2023-03-19,RevenueCenter_1,Breakfast,629.0
2023-03-19,RevenueCenter_1,Dinner,1207.0
2023-03-19,RevenueCenter_1,Lunch,365.0
