Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-01-02,Breakfast,0.0,RevenueCenter_9,0,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,9
2023-01-02,Dinner,0.0,RevenueCenter_9,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,9
2023-01-02,Lunch,405.0,RevenueCenter_9,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,9
2023-01-03,Breakfast,1302.4,RevenueCenter_1,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Dinner,2735.9,RevenueCenter_1,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Lunch,826.0,RevenueCenter_1,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Breakfast,234.0,RevenueCenter_2,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Dinner,70.0,RevenueCenter_2,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Lunch,594.0,RevenueCenter_2,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Breakfast,440.0,RevenueCenter_3,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-03,Dinner,11712.55,RevenueCenter_3,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-03,Lunch,693.0,RevenueCenter_3,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-03,Breakfast,0.0,RevenueCenter_4,0,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-03,Dinner,0.0,RevenueCenter_4,1,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-03,Lunch,0.0,RevenueCenter_4,2,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-03,Breakfast,19108.0,RevenueCenter_5,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-03,Dinner,3064.5,RevenueCenter_5,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-03,Lunch,735.0,RevenueCenter_5,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-03,Breakfast,365.0,RevenueCenter_6,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,6
2023-01-03,Dinner,2.0,RevenueCenter_6,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,6
2023-01-03,Lunch,468.0,RevenueCenter_6,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,6
2023-01-03,Breakfast,0.0,RevenueCenter_7,0,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-03,Dinner,0.0,RevenueCenter_7,1,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-03,Lunch,0.0,RevenueCenter_7,2,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-03,Breakfast,0.0,RevenueCenter_8,0,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-03,Dinner,0.0,RevenueCenter_8,1,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-03,Lunch,0.0,RevenueCenter_8,2,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-03,Breakfast,190.0,RevenueCenter_9,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,9
2023-01-03,Dinner,300.0,RevenueCenter_9,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,9
2023-01-03,Lunch,0.0,RevenueCenter_9,2,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,9
2023-01-04,Breakfast,1737.0,RevenueCenter_1,0,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,1
2023-01-04,Dinner,3829.0,RevenueCenter_1,1,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,1
2023-01-04,Lunch,712.0,RevenueCenter_1,2,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,1
