Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-01-01,Breakfast,35.0,RevenueCenter_2,0,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-01,Dinner,407.0,RevenueCenter_2,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-01,Lunch,30.0,RevenueCenter_2,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Breakfast,608.5,RevenueCenter_2,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Dinner,398.5,RevenueCenter_2,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Lunch,136.0,RevenueCenter_2,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Breakfast,234.0,RevenueCenter_2,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Dinner,70.0,RevenueCenter_2,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Lunch,594.0,RevenueCenter_2,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-04,Breakfast,72.0,RevenueCenter_2,0,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-04,Dinner,231.0,RevenueCenter_2,1,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-04,Lunch,195.0,RevenueCenter_2,2,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-05,Breakfast,704.0,RevenueCenter_2,0,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-05,Dinner,139.0,RevenueCenter_2,1,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-05,Lunch,136.0,RevenueCenter_2,2,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-06,Breakfast,97.0,RevenueCenter_2,0,2023,1,4,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-06,Dinner,90.0,RevenueCenter_2,1,2023,1,4,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-06,Lunch,237.0,RevenueCenter_2,2,2023,1,4,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-07,Breakfast,120.0,RevenueCenter_2,0,2023,1,5,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-07,Dinner,308.0,RevenueCenter_2,1,2023,1,5,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-07,Lunch,480.0,RevenueCenter_2,2,2023,1,5,23,0,0,1,0,0,0,1,0,0,0,2
2023-01-08,Breakfast,254.0,RevenueCenter_2,0,2023,1,6,2,0,0,0,0,0,0,1,0,0,0,2
2023-01-08,Dinner,371.0,RevenueCenter_2,1,2023,1,6,2,0,0,0,0,0,0,1,0,0,0,2
2023-01-08,Lunch,418.0,RevenueCenter_2,2,2023,1,6,2,0,0,0,0,0,0,1,0,0,0,2
2023-01-09,Breakfast,218.0,RevenueCenter_2,0,2023,1,0,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-09,Dinner,81.0,RevenueCenter_2,1,2023,1,0,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-09,Lunch,157.0,RevenueCenter_2,2,2023,1,0,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-10,Breakfast,509.0,RevenueCenter_2,0,2023,1,1,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-10,Dinner,282.0,RevenueCenter_2,1,2023,1,1,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-10,Lunch,982.5,RevenueCenter_2,2,2023,1,1,11,0,0,0,0,0,0,1,0,0,0,2
2023-01-11,Breakfast,325.0,RevenueCenter_2,0,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,2
2023-01-11,Dinner,1143.0,RevenueCenter_2,1,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,2
