Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-01-18,Breakfast,64.0,RevenueCenter_7,0,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-18,Dinner,16.0,RevenueCenter_7,1,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-18,Lunch,0.0,RevenueCenter_7,2,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-19,Breakfast,0.0,RevenueCenter_7,0,2023,1,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-19,Dinner,0.0,RevenueCenter_7,1,2023,1,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-19,Lunch,0.0,RevenueCenter_7,2,2023,1,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-20,Breakfast,500.0,RevenueCenter_7,0,2023,1,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-20,Dinner,6.0,RevenueCenter_7,1,2023,1,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-20,Lunch,0.0,RevenueCenter_7,2,2023,1,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-21,Breakfast,25.0,RevenueCenter_7,0,2023,1,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-21,Dinner,289.0,RevenueCenter_7,1,2023,1,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-21,Lunch,0.0,RevenueCenter_7,2,2023,1,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-22,Breakfast,0.0,RevenueCenter_7,0,2023,1,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-22,Dinner,0.0,RevenueCenter_7,1,2023,1,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-22,Lunch,0.0,RevenueCenter_7,2,2023,1,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-23,Breakfast,0.0,RevenueCenter_7,0,2023,1,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-23,Dinner,0.0,RevenueCenter_7,1,2023,1,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-23,Lunch,0.0,RevenueCenter_7,2,2023,1,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-24,Breakfast,0.0,RevenueCenter_7,0,2023,1,1,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-24,Dinner,16.0,RevenueCenter_7,1,2023,1,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-24,Lunch,0.0,RevenueCenter_7,2,2023,1,1,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-25,Breakfast,0.0,RevenueCenter_7,0,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-25,Dinner,0.0,RevenueCenter_7,1,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-25,Lunch,0.0,RevenueCenter_7,2,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-26,Breakfast,567.0,RevenueCenter_7,0,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-26,Dinner,25.0,RevenueCenter_7,1,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-26,Lunch,75.0,RevenueCenter_7,2,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-27,Breakfast,0.0,RevenueCenter_7,0,2023,1,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-27,Dinner,0.0,RevenueCenter_7,1,2023,1,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-27,Lunch,0.0,RevenueCenter_7,2,2023,1,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-28,Breakfast,0.0,RevenueCenter_7,0,2023,1,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-28,Dinner,0.0,RevenueCenter_7,1,2023,1,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-28,Lunch,28.0,RevenueCenter_7,2,2023,1,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-29,Breakfast,117.0,RevenueCenter_7,0,2023,1,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-29,Dinner,147.0,RevenueCenter_7,1,2023,1,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-29,Lunch,0.0,RevenueCenter_7,2,2023,1,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-30,Breakfast,5.0,RevenueCenter_7,0,2023,1,0,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-30,Dinner,202.0,RevenueCenter_7,1,2023,1,0,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-30,Lunch,0.0,RevenueCenter_7,2,2023,1,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-31,Breakfast,0.0,RevenueCenter_7,0,2023,1,1,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-31,Dinner,52.0,RevenueCenter_7,1,2023,1,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-31,Lunch,58.0,RevenueCenter_7,2,2023,1,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-01,Breakfast,25.0,RevenueCenter_7,0,2023,2,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-01,Dinner,0.0,RevenueCenter_7,1,2023,2,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-01,Lunch,0.0,RevenueCenter_7,2,2023,2,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-02,Breakfast,0.0,RevenueCenter_7,0,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-02,Dinner,0.0,RevenueCenter_7,1,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-02,Lunch,0.0,RevenueCenter_7,2,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-03,Breakfast,0.0,RevenueCenter_7,0,2023,2,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-03,Dinner,0.0,RevenueCenter_7,1,2023,2,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-03,Lunch,0.0,RevenueCenter_7,2,2023,2,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-04,Breakfast,0.0,RevenueCenter_7,0,2023,2,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-04,Dinner,75.0,RevenueCenter_7,1,2023,2,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-04,Lunch,0.0,RevenueCenter_7,2,2023,2,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-05,Breakfast,0.0,RevenueCenter_7,0,2023,2,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-05,Dinner,50.0,RevenueCenter_7,1,2023,2,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-05,Lunch,76.0,RevenueCenter_7,2,2023,2,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-06,Breakfast,0.0,RevenueCenter_7,0,2023,2,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-06,Dinner,0.0,RevenueCenter_7,1,2023,2,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-06,Lunch,0.0,RevenueCenter_7,2,2023,2,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-07,Breakfast,16.0,RevenueCenter_7,0,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
